gene_id	group	Case PTV	Ctrl PTV	Case mis3	Ctrl mis3	Case mis2	Ctrl mis2	P ca/co (Class 1)	P ca/co (Class 2)	P ca/co (comb)	De novo PTV	De novo mis3	De novo mis2	P de novo	P meta	Q meta	OR (PTV)	OR (Class I)	OR (Class II)	OR (PTV) lower bound	OR (PTV) upper bound	OR (Class I) lower bound	OR (Class I) upper bound	OR (Class II) lower bound	OR (Class II) upper bound
ENSG00000234444	meta	2	4	0	0	0	0	5.7700e-01	NA	5.7700e-01	NA	NA	NA	NA	5.7700e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	1.8200e-01	1.4000e+01	1.8200e-01	1.4000e+01	NA	NA
ENSG00000234511	meta	1	4	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	NA	2.0400e-02	1.0100e+01	2.0400e-02	1.0100e+01	NA	NA
ENSG00000234545	meta	2	8	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	NA	1.0400e-01	5.0300e+00	1.0400e-01	5.0300e+00	NA	NA
ENSG00000234560	meta	3	7	0	0	0	0	4.4200e-01	NA	4.4200e-01	NA	NA	NA	NA	4.4200e-01	1.0000e+00	1.7200e+00	1.7200e+00	NA	2.8700e-01	7.5400e+00	2.8700e-01	7.5400e+00	NA	NA
ENSG00000234602	meta	0	1	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	1.5600e+02	0.0000e+00	1.5600e+02	NA	NA
ENSG00000234745	meta	3	13	0	0	0	0	5.4200e-01	NA	5.4200e-01	NA	NA	NA	NA	5.4200e-01	1.0000e+00	9.2600e-01	9.2600e-01	NA	1.6900e-01	3.3700e+00	1.6900e-01	3.3700e+00	NA	NA
ENSG00000234776	meta	2	4	0	0	0	0	2.4400e-01	NA	2.4400e-01	NA	NA	NA	NA	2.4400e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	1.8200e-01	1.4000e+01	1.8200e-01	1.4000e+01	NA	NA
ENSG00000234829	meta	4	6	0	0	0	0	7.7200e-02	NA	7.7200e-02	NA	NA	NA	NA	7.7200e-02	1.0000e+00	2.6800e+00	2.6800e+00	NA	5.5500e-01	1.1300e+01	5.5500e-01	1.1300e+01	NA	NA
ENSG00000234906	meta	1	2	0	0	0	0	4.3700e-01	NA	4.3700e-01	NA	NA	NA	NA	4.3700e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	3.4000e-02	3.8500e+01	3.4000e-02	3.8500e+01	NA	NA
ENSG00000235034	meta	3	1	0	0	0	0	2.3400e-01	NA	2.3400e-01	NA	NA	NA	NA	2.3400e-01	1.0000e+00	1.2000e+01	1.2000e+01	NA	9.6700e-01	6.3000e+02	9.6700e-01	6.3000e+02	NA	NA
ENSG00000235098	meta	1	1	0	0	0	0	1.9800e-01	NA	1.9800e-01	NA	NA	NA	NA	1.9800e-01	1.0000e+00	4.0100e+00	4.0100e+00	NA	5.1100e-02	3.1400e+02	5.1100e-02	3.1400e+02	NA	NA
ENSG00000235109	meta	9	29	0	0	0	0	5.9700e-01	NA	5.9700e-01	NA	NA	NA	NA	5.9700e-01	1.0000e+00	1.2500e+00	1.2500e+00	NA	5.1900e-01	2.7000e+00	5.1900e-01	2.7000e+00	NA	NA
ENSG00000235156	meta	2	0	0	0	0	0	3.3300e-01	NA	3.3300e-01	NA	NA	NA	NA	3.3300e-01	1.0000e+00	Infinity	Infinity	NA	7.5400e-01	Infinity	7.5400e-01	Infinity	NA	NA
ENSG00000235162	meta	1	1	0	0	0	0	7.4500e-01	NA	7.4500e-01	NA	NA	NA	NA	7.4500e-01	1.0000e+00	4.0100e+00	4.0100e+00	NA	5.1100e-02	3.1400e+02	5.1100e-02	3.1400e+02	NA	NA
ENSG00000235173	meta	2	6	0	0	0	0	6.6200e-01	NA	6.6200e-01	NA	NA	NA	NA	6.6200e-01	1.0000e+00	1.3400e+00	1.3400e+00	NA	1.3200e-01	7.4800e+00	1.3200e-01	7.4800e+00	NA	NA
ENSG00000235194	meta	0	6	0	0	0	0	9.1900e-01	NA	9.1900e-01	NA	NA	NA	NA	9.1900e-01	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	3.4100e+00	0.0000e+00	3.4100e+00	NA	NA
ENSG00000235268	meta	2	3	0	0	0	0	4.4000e-01	NA	4.4000e-01	NA	NA	NA	NA	4.4000e-01	1.0000e+00	2.6800e+00	2.6800e+00	NA	2.2300e-01	2.3400e+01	2.2300e-01	2.3400e+01	NA	NA
ENSG00000235376	meta	1	23	0	0	0	0	6.6500e-02	NA	6.6500e-02	NA	NA	NA	NA	6.6500e-02	1.0000e+00	1.7400e-01	1.7400e-01	NA	4.2400e-03	1.0700e+00	4.2400e-03	1.0700e+00	NA	NA
ENSG00000235568	meta	2	4	0	0	0	0	5.2700e-01	NA	5.2700e-01	NA	NA	NA	NA	5.2700e-01	1.0000e+00	2.0100e+00	2.0100e+00	NA	1.8200e-01	1.4000e+01	1.8200e-01	1.4000e+01	NA	NA
ENSG00000235631	meta	1	15	0	0	0	0	2.2700e-01	NA	2.2700e-01	NA	NA	NA	NA	2.2700e-01	1.0000e+00	2.6800e-01	2.6800e-01	NA	6.3600e-03	1.7400e+00	6.3600e-03	1.7400e+00	NA	NA
ENSG00000235718	meta	15	44	0	0	0	0	3.6700e-01	NA	3.6700e-01	NA	NA	NA	NA	3.6700e-01	1.0000e+00	1.3700e+00	1.3700e+00	NA	7.0700e-01	2.5100e+00	7.0700e-01	2.5100e+00	NA	NA
ENSG00000235863	meta	3	11	0	0	3	16	7.5300e-01	1.0000e+00	7.5300e-01	NA	NA	NA	NA	7.5300e-01	1.0000e+00	1.0900e+00	1.0900e+00	7.5300e-01	1.9600e-01	4.1400e+00	1.9600e-01	4.1400e+00	1.4100e-01	2.6300e+00
ENSG00000235931	meta	1	0	0	0	0	0	5.7700e-01	NA	5.7700e-01	NA	NA	NA	NA	5.7700e-01	1.0000e+00	Infinity	Infinity	NA	1.0300e-01	Infinity	1.0300e-01	Infinity	NA	NA
ENSG00000236032	meta	2	23	0	0	0	0	1.9600e-01	NA	1.9600e-01	NA	NA	NA	NA	1.9600e-01	1.0000e+00	3.4900e-01	3.4900e-01	NA	3.9900e-02	1.4100e+00	3.9900e-02	1.4100e+00	NA	NA
ENSG00000236104	meta	5	5	0	0	2	1	3.3800e-01	7.5500e-02	1.7300e-01	NA	NA	NA	NA	1.7300e-01	1.0000e+00	4.0100e+00	4.0100e+00	8.0300e+00	9.2400e-01	1.7500e+01	9.2400e-01	1.7500e+01	4.1800e-01	4.7200e+02
ENSG00000236279	meta	0	2	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	2.1400e+01	0.0000e+00	2.1400e+01	NA	NA
ENSG00000236287	meta	1	1	0	0	0	0	8.2200e-01	NA	8.2200e-01	NA	NA	NA	NA	8.2200e-01	1.0000e+00	4.0100e+00	4.0100e+00	NA	5.1100e-02	3.1400e+02	5.1100e-02	3.1400e+02	NA	NA
ENSG00000236311	meta	0	4	0	0	0	0	1.0000e+00	NA	1.0000e+00	NA	NA	NA	NA	1.0000e+00	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	6.0800e+00	0.0000e+00	6.0800e+00	NA	NA
ENSG00000236320	meta	1	1	0	0	0	0	8.2200e-01	NA	8.2200e-01	NA	NA	NA	NA	8.2200e-01	1.0000e+00	4.0100e+00	4.0100e+00	NA	5.1100e-02	3.1400e+02	5.1100e-02	3.1400e+02	NA	NA
ENSG00000236334	meta	2	11	0	0	1	11	1.0000e+00	5.2400e-01	8.7600e-01	NA	NA	NA	NA	8.7600e-01	1.0000e+00	7.3000e-01	7.3000e-01	3.6500e-01	7.8600e-02	3.3400e+00	7.8600e-02	3.3400e+00	8.4800e-03	2.5100e+00
ENSG00000236398	meta	6	22	0	0	0	0	8.0500e-01	NA	8.0500e-01	NA	NA	NA	NA	8.0500e-01	1.0000e+00	1.0900e+00	1.0900e+00	NA	3.6300e-01	2.7800e+00	3.6300e-01	2.7800e+00	NA	NA
ENSG00000236446	meta	0	10	0	0	0	0	2.2800e-01	NA	2.2800e-01	NA	NA	NA	NA	2.2800e-01	1.0000e+00	0.0000e+00	0.0000e+00	NA	0.0000e+00	1.7900e+00	0.0000e+00	1.7900e+00	NA	NA
