gene_id	group	xcase_dn_ptv	xcont_dn_ptv	xcase_dn_misb	xcont_dn_misb	xcase_dn_misa	xcont_dn_misa	xcase_dbs_ptv	xcont_dbs_ptv	xcase_swe_ptv	xcont_swe_ptv	xcase_tut	xcont_tut	qval
ENSG00000006788	All	0	0	0	0	0	0	4	5	2	4	9	9	8.3419e-01
ENSG00000006831	All	0	0	0	0	0	0	0	0	0	0	0	0	9.1623e-01
ENSG00000006837	All	0	0	0	0	0	0	0	0	0	0	0	2	8.8020e-01
ENSG00000007001	All	0	0	0	0	0	0	0	1	0	0	1	1	9.1571e-01
ENSG00000007038	All	0	0	0	0	0	0	0	1	0	0	5	1	8.9946e-01
ENSG00000007047	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2584e-01
ENSG00000007062	All	0	0	0	0	0	0	1	0	1	2	3	4	8.5556e-01
ENSG00000007080	All	0	0	0	0	0	0	0	0	0	0	0	1	9.1920e-01
ENSG00000007129	All	0	0	0	0	0	0	0	0	0	0	0	0	9.0685e-01
ENSG00000007168	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2739e-01
ENSG00000007171	All	0	0	0	0	1	0	0	0	0	2	3	5	7.7102e-01
ENSG00000007174	All	0	0	0	0	0	0	6	6	2	6	24	21	8.1902e-01
ENSG00000007202	All	1	0	0	0	0	0	3	2	0	3	3	3	7.7346e-01
ENSG00000007216	All	0	0	0	0	0	0	1	2	0	0	3	5	8.8438e-01
ENSG00000007237	All	0	0	0	0	1	0	1	0	0	0	0	0	6.7430e-01
ENSG00000007255	All	0	0	0	0	0	0	0	0	0	0	1	0	9.1268e-01
ENSG00000007264	All	0	0	0	0	0	0	0	0	0	0	0	2	8.7158e-01
ENSG00000007306	All	0	0	0	0	0	0	0	0	0	0	2	3	9.0967e-01
ENSG00000007312	All	0	0	0	0	0	0	0	0	0	0	0	0	9.1955e-01
ENSG00000007314	All	0	0	0	0	0	0	2	0	0	5	2	3	9.2921e-01
ENSG00000007341	All	0	0	0	0	0	0	0	0	0	1	6	5	8.7877e-01
ENSG00000007372	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2745e-01
ENSG00000007376	All	0	0	0	0	0	0	0	0	0	0	1	0	9.1069e-01
ENSG00000007384	All	0	0	0	0	1	0	0	0	0	2	2	0	7.8832e-01
ENSG00000007392	All	0	0	0	0	0	0	0	0	0	1	0	0	9.2563e-01
ENSG00000007402	All	0	0	0	0	0	0	2	2	0	0	0	1	9.1891e-01
ENSG00000007516	All	0	0	0	0	0	0	0	0	0	1	10	6	8.4565e-01
ENSG00000007520	All	0	0	0	0	0	0	0	0	0	1	0	1	9.3073e-01
ENSG00000007541	All	0	0	0	0	0	0	0	0	0	0	1	2	8.7919e-01
ENSG00000007545	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2054e-01
ENSG00000007908	All	0	0	0	0	0	0	0	1	0	3	0	1	8.8550e-01
ENSG00000007923	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2138e-01
ENSG00000007933	All	0	0	0	0	0	0	3	5	0	3	1	4	8.9796e-01
ENSG00000007944	All	0	0	0	0	0	0	0	0	0	1	1	2	9.2634e-01
ENSG00000007968	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2164e-01
ENSG00000008018	All	0	0	0	0	0	0	0	0	0	0	0	0	9.2822e-01
ENSG00000008083	All	1	0	0	0	0	0	0	0	1	0	0	0	4.4341e-01
ENSG00000008118	All	0	0	0	0	0	0	3	1	0	0	3	1	7.2492e-01
ENSG00000008128	All	0	0	0	0	0	0	1	0	0	0	2	0	8.5962e-01
ENSG00000008130	All	0	0	0	0	0	0	0	0	0	0	0	1	8.8068e-01
ENSG00000008196	All	0	0	0	0	0	0	0	0	0	0	0	0	9.3026e-01
ENSG00000008197	All	0	0	0	0	0	0	0	0	0	0	0	0	9.3026e-01
