gene	set
OSTM1	background
PCNP	background
EXD2	background
ARG2	background
MEF2C	background
UBA5	background
ZNF510	background
ZNF506	background
JMJD4	background
DUSP12	background
AACS	background
DELE1	background
PCDHB4	background
PCDHA6	background
PCDHGA2	background
HSPB11	background
PHLPP1	background
SMARCD3	background
WDR70	background
STRADB	background
BZW1	background
C1QTNF3	background
ME2	background
C5orf22	background
CCNT2	background
FAM135A	background
EPB41L3	background
KCNK2	background
TRAF5	background
MRPL22	background
GEMIN5	background
NFE2L1	background
SEMA5B	background
GSK3B	background
ERC1	background
XPO1	background
RNF13	background
PALB2	background
DOP1A	background
LYRM2	background
BCKDHB	background
KAT6A	background
TUT7	background
ULK2	background
TNPO1	background
PLOD1	background
ITGAE	background
DIS3	background
PIBF1	background
TDRD3	background
NUFIP1	background
PDS5B	background
OXCT1	background
RRAGB	background
CYLD	background
ZNF324	background
ZNF671	background
ZNF416	background
ZNF586	background
ZNF446	background
ZNF264	background
RPS5	background
YTHDC1	background
CHMP2B	background
SMAP2	background
PPIE	background
ZMPSTE24	background
STARD7	background
NOA1	background
REST	background
GSTP1	background
APLP2	background
FAM234B	background
WBP11	background
EIF3I	background
NKAIN1	background
COL16A1	background
TXLNA	background
NCOA1	background
AGBL5	background
KIF3C	background
RAB10	background
HADHA	background
MAPRE3	background
CAD	background
CD59	background
CD82	background
ATRX	background
AK6	background
MYNN	background
SCAMP1	background
PREP	background
HACE1	background
SEH1L	background
WDR47	background
WDFY1	background
OVGP1	background
SLC25A24	background
MAP3K4	background
IGSF9	background
ABCB1	background
ZNF213	background
AKR1B1	background
CPNE3	background
RRN3	background
CTTN	background
MTIF2	background
DDHD2	background
EPS15	background
CHERP	background
ATG16L1	background
USP40	background
POMGNT1	background
RAD54L	background
MAST2	background
DNAJA1	background
CHMP5	background
NFX1	background
DIMT1	background
IPO11	background
EIF2AK1	background
EPDR1	background
SNX10	background
SEPHS1	background
MRPL28	background
RBM22	background
TMED2	background
ERO1B	background
ZFAND6	background
TXLNG	background
HUWE1	background
ZW10	background
ALG9	background
ACOX3	background
MTMR2	background
PPP1R15A	background
TRIP6	background
SRRT	background
BAX	background
PIGS	background
ATXN7L3	background
PGS1	background
PSMC5	background
UIMC1	background
MMP2	background
MT3	background
GNAO1	background
OGFOD1	background
SH3BP2	background
NOP14	background
