transcript_id	module	module.color	module.number	kME	kMEtoMod	gene_id	transcript_name	gene_name	ensg	novelty
TALONT000335142	M11.greenyellow	greenyellow	11	0.845105330581742	11	ENSG00000139977.14_6	NAA30_TALONT000335142	NAA30	ENSG00000139977	ISM
TALONT000335169	M20.royalblue	royalblue	20	0.8552673213908545	20	ENSG00000101204.17_5	CHRNA4_TALONT000335169	CHRNA4	ENSG00000101204	ISM
TALONT000335425	M4.yellow	yellow	4	0.7154330059089677	4	ENSG00000278053.5_4	DDX52_TALONT000335425	DDX52	ENSG00000278053	ISM
TALONT000335584	M2.blue	blue	2	0.8754772798236317	2	ENSG00000116478.12_5	HDAC1_TALONT000335584	HDAC1	ENSG00000116478	NIC
TALONT000335585	M33.darkolivegreen	darkolivegreen	33	0.8347391682057791	33	ENSG00000169375.16_7	SIN3A_TALONT000335585	SIN3A	ENSG00000169375	NIC
TALONT000335598	M11.greenyellow	greenyellow	11	0.7512820392698419	11	ENSG00000116478.12_5	HDAC1_TALONT000335598	HDAC1	ENSG00000116478	NIC
TALONT000335615	M21.darkred	darkred	21	0.8069395401765159	21	ENSG00000278053.5_4	DDX52_TALONT000335615	DDX52	ENSG00000278053	ISM
TALONT000335673	M20.royalblue	royalblue	20	0.887938026484539	20	ENSG00000139977.14_6	NAA30_TALONT000335673	NAA30	ENSG00000139977	ISM
TALONT000335707	M40.mediumpurple3	mediumpurple3	40	0.5657897704973056	40	ENSG00000257103.8_5	LSM14A_TALONT000335707	LSM14A	ENSG00000257103	ISM
TALONT000335709	M23.darkturquoise	darkturquoise	23	0.5245116673326186	23	ENSG00000257103.8_5	LSM14A_TALONT000335709	LSM14A	ENSG00000257103	ISM
TALONT000335713	M20.royalblue	royalblue	20	0.8695151425925356	20	ENSG00000139977.14_6	NAA30_TALONT000335713	NAA30	ENSG00000139977	ISM
TALONT000335981	M3.brown	brown	3	0.9058422377551254	3	ENSG00000175130.7_4	MARCKSL1_TALONT000335981	MARCKSL1	ENSG00000175130	NNC
TALONT000335983	M23.darkturquoise	darkturquoise	23	0.687303791604343	23	ENSG00000166398.13_5	KIAA0355_TALONT000335983	KIAA0355	ENSG00000166398	ISM
TALONT000336047	M36.yellowgreen	yellowgreen	36	0.6191527973975555	36	ENSG00000105220.17_7	GPI_TALONT000336047	GPI	ENSG00000105220	NNC
TALONT000336059	M53.palevioletred3	palevioletred3	53	0.7890107405597191	53	ENSG00000169410.10_6	PTPN9_TALONT000336059	PTPN9	ENSG00000169410	ISM
TALONT000336105	M7.black	black	7	0.6709652564895523	7	ENSG00000273154.3_8	AL121845.3_TALONT000336105	AL121845.3	ENSG00000273154	NIC
TALONT000336220	M6.red	red	6	0.8610283799649583	6	ENSG00000139971.15_8	ARMH4_TALONT000336220	ARMH4	ENSG00000139971	ISM
TALONT000336271	M22.darkgreen	darkgreen	22	0.4988347768110868	22	ENSG00000139971.15_8	ARMH4_TALONT000336271	ARMH4	ENSG00000139971	ISM
TALONT000336385	M6.red	red	6	0.7549613904184546	6	ENSG00000169371.14_5	SNUPN_TALONT000336385	SNUPN	ENSG00000169371	ISM
TALONT000336469	M41.lightsteelblue1	lightsteelblue1	41	0.9382586928139885	41	ENSG00000126261.13_5	UBA2_TALONT000336469	UBA2	ENSG00000126261	NIC
TALONT000336515	M13.salmon	salmon	13	0.6053311216185092	13	ENSG00000275023.5_5	MLLT6_TALONT000336515	MLLT6	ENSG00000275023	ISM
TALONT000336520	M52.salmon4	salmon4	52	0.8506584683868589	52	ENSG00000126261.13_5	UBA2_TALONT000336520	UBA2	ENSG00000126261	NIC
TALONT000336524	M27.white	white	27	0.750676996683598	27	ENSG00000275023.5_5	MLLT6_TALONT000336524	MLLT6	ENSG00000275023	ISM
TALONT000336562	M33.darkolivegreen	darkolivegreen	33	0.7570663537916026	33	ENSG00000277258.5_5	PCGF2_TALONT000336562	PCGF2	ENSG00000277258	NIC
TALONT000336582	M33.darkolivegreen	darkolivegreen	33	0.8148032680215362	33	ENSG00000251562.8_4	MALAT1_TALONT000336582	MALAT1	ENSG00000251562	NNC
TALONT000336692	M3.brown	brown	3	0.7778699437333066	3	ENSG00000126261.13_5	UBA2_TALONT000336692	UBA2	ENSG00000126261	ISM
TALONT000336713	M20.royalblue	royalblue	20	0.8281103236811638	20	ENSG00000276293.4_6	PIP4K2B_TALONT000336713	PIP4K2B	ENSG00000276293	ISM
TALONT000336715	M38.plum1	plum1	38	0.8035817843941763	38	ENSG00000276293.4_6	PIP4K2B_TALONT000336715	PIP4K2B	ENSG00000276293	NIC
TALONT000336767	M31.paleturquoise	paleturquoise	31	0.7208167387350224	31	ENSG00000101152.11_3	DNAJC5_TALONT000336767	DNAJC5	ENSG00000101152	ISM
TALONT000336950	M4.yellow	yellow	4	0.682413359694724	4	ENSG00000032219.19_4	ARID4A_TALONT000336950	ARID4A	ENSG00000032219	ISM
TALONT000337042	M6.red	red	6	0.6598012883097455	6	ENSG00000032219.19_4	ARID4A_TALONT000337042	ARID4A	ENSG00000032219	ISM
TALONT000337062	M13.salmon	salmon	13	0.5324135581375007	13	ENSG00000101161.8_3	PRPF6_TALONT000337062	PRPF6	ENSG00000101161	NIC
