nCount_RNA	IsoCellType
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExN-1
ExM	ExN-3
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-1
ExM	ExN-2
ExM	vRG-ExN
ExM	ExM
ExM	vRG-ExN
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM-U
ExM	ExM
ExM	vRG-ExN
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-2
ExM	ExN-2
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExDp
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExDp
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExN-1
ExM	vRG-ExN
ExM	ExN-1
ExM	ExN-ExM
ExM	ExM
ExM	ExN-1
ExM	ExN-1
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM-U
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExN-1
ExM	ExM-U
ExM	vRG
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExN-ExM
ExM	vRG-ExN
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExN-ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExN-1
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExN-3
ExM	ExN-1
ExM	ExN-ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExN-1
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExN-1
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExN-1
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-1
ExM	ExN-2
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	IP
ExM	ExM
ExM	ExN-ExM
ExM	ExDp
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	vRG-ExN
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExM-U
ExM	ExN-1
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	vRG-ExN
ExM	ExN-1
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExM-U
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-1
ExM	ExN-ExM
ExM	ExN-1
ExM	ExN-ExM
ExM	vRG-ExN
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExN-1
ExM	ExN-1
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-2
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExN-3
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	vRG-ExN
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	vRG-ExN
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExN-1
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExN-1
ExM	ExN-1
ExM	ExM-U
ExM	vRG-ExN
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExN-1
ExM	ExM-U
ExM	ExN-2
ExM	ExM-U
ExM	ExN-3
ExM	ExM
ExM	ExN-3
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExM-U
ExM	ExM-U
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExDp
ExM	ExN-1
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExN-2
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExDp
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-1
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExN-2
ExM	vRG-ExN
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExDp
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM
ExM	ExN-1
ExM	ExM-U
ExM	ExM-U
ExM	ExM-U
ExM	vRG-ExN
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExN-1
ExM	ExM
ExM	vRG-ExN
ExM	ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExM
ExM	ExM-U
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-1
ExM	ExM-U
ExM	vRG-ExN
ExM	ExM-U
ExM	ExM
ExM	ExN-2
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExM-U
ExM	vRG
ExM	ExM-U
ExM	ExN-ExM
ExM	ExN-3
ExM	ExN-ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExDp
ExM	ExN-ExM
ExM	ExN-1
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExN-1
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExN-3
ExM	ExN-ExM
ExM	ExN-1
ExM	ExM-U
ExM	vRG-ExN
ExM	ExN-1
ExM	ExN-3
ExM	ExM
ExM	ExN-ExM
ExM	ExN-2
ExM	ExM
ExM	ExN-2
ExM	vRG-ExN
ExM	ExN-ExM
ExM	ExM-U
ExM	ExN-3
ExM	ExM-U
ExM	ExN-ExM
ExM	ExN-1
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM-U
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM-U
ExM	ExM-U
ExM	ExN-1
ExM	ExN-1
ExM	ExN-ExM
ExM	ExM-U
ExM	ExN-1
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-1
ExM	ExM-U
ExM	ExM
ExM	ExN-1
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExN-2
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-1
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-1
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-1
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-2
ExM	ExN-2
ExM	ExM
ExM	ExM-U
ExM	ExN-1
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExN-2
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExN-ExM
ExM	vRG-ExN
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM-U
ExM	ExN-ExM
ExM	ExN-3
ExM	ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExM-U
ExM	ExM-U
ExM	ExN-1
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	oRG
ExM	ExN-3
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	vRG-ExN
ExM	ExM
ExM	ExN-2
ExM	ExM-U
ExM	ExM-U
ExM	ExM-U
ExM	ExN-2
ExM	ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExN-ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExN-1
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExN-1
ExM	ExM
ExM	ExN-ExM
ExM	ExN-1
ExM	ExN-1
ExM	ExM
ExM	ExM
ExM	ExN-1
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExN-2
ExM	In
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExN-1
ExM	ExN-1
ExM	ExM-U
ExM	ExN-2
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	vRG-ExN
ExM	ExM-U
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	IP
ExM	ExN-ExM
ExM	ExN-1
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExM-U
ExM	ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExM
ExM	vRG-ExN
ExM	ExN-1
ExM	ExN-ExM
ExM	ExN-1
ExM	ExN-1
ExM	ExN-ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	vRG-ExN
ExM	ExN-1
ExM	ExM-U
ExM	ExDp
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	PgS
ExM	ExM-U
ExM	ExM
ExM	ExN-2
ExM	ExM
ExM	vRG-ExN
ExM	ExM
ExM	ExM
ExM	ExN-3
ExM	ExN-1
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExM
ExM	ExM-U
ExM	ExN-ExM
ExM	ExN-1
ExM	ExM
ExM	ExM
ExM	ExN-ExM
ExM	ExM
ExM	ExM
ExM	ExN-1
ExM	ExN-ExM
ExM	ExN-1
ExM	ExM
ExM	ExN-ExM
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExN-ExM
ExM-U	ExM-U
ExM-U	vRG-ExN
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExN-ExM
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExM
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExN-ExM
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExM-U
ExM-U	ExM
ExM-U	vRG-ExN
ExM-U	ExM-U
ExM-U	ExN-2
ExM-U	ExM-U
ExM-U	ExM
ExM-U	ExM-U
ExM-U	ExM-U
