gene_id,module
ENSG00000160050,isoExpr.M14_cyan
ENSG00000084623,isoExpr.M3_brown
ENSG00000116478,isoExpr.M2_blue
ENSG00000175130,isoExpr.M3_brown
ENSG00000160062,isoExpr.M8_pink
ENSG00000162521,isoExpr.M4_yellow
ENSG00000162521,isoExpr.M15_midnightblue
ENSG00000162522,isoExpr.M32_violet
ENSG00000134684,isoExpr.M1_turquoise
ENSG00000121905,isoExpr.M1_turquoise
ENSG00000004455,isoExpr.M2_blue
ENSG00000004455,isoExpr.M2_blue
ENSG00000160094,isoExpr.M1_turquoise
ENSG00000163866,isoExpr.M4_yellow
ENSG00000116544,isoExpr.M1_turquoise
ENSG00000163867,isoExpr.M24_darkgrey
ENSG00000116560,isoExpr.M5_green
ENSG00000116560,isoExpr.M39_orangered4
ENSG00000146463,isoExpr.M25_orange
ENSG00000020129,isoExpr.M1_turquoise
ENSG00000020129,isoExpr.M16_lightcyan
ENSG00000142686,isoExpr.M1_turquoise
ENSG00000092847,isoExpr.M2_blue
ENSG00000126070,isoExpr.M2_blue
ENSG00000116863,isoExpr.M3_brown
ENSG00000054116,isoExpr.M3_brown
ENSG00000116871,isoExpr.M6_red
ENSG00000181817,isoExpr.M3_brown
ENSG00000119535,isoExpr.M9_magenta
ENSG00000163875,isoExpr.M1_turquoise
ENSG00000163875,isoExpr.M2_blue
ENSG00000163875,isoExpr.M2_blue
ENSG00000163879,isoExpr.M4_yellow
ENSG00000163879,isoExpr.M36_yellowgreen
ENSG00000134697,isoExpr.M12_tan
ENSG00000116922,isoExpr.M35_sienna3
ENSG00000134690,isoExpr.M2_blue
ENSG00000134690,isoExpr.M2_blue
ENSG00000197982,isoExpr.M3_brown
ENSG00000197982,isoExpr.M3_brown
ENSG00000183431,isoExpr.M4_yellow
ENSG00000183520,isoExpr.M12_tan
ENSG00000214114,isoExpr.M4_yellow
ENSG00000174574,isoExpr.M4_yellow
ENSG00000168653,isoExpr.M3_brown
ENSG00000168653,isoExpr.M10_purple
ENSG00000116983,isoExpr.M1_turquoise
ENSG00000116983,isoExpr.M1_turquoise
ENSG00000116983,isoExpr.M1_turquoise
ENSG00000084072,isoExpr.M2_blue
ENSG00000043514,isoExpr.M8_pink
ENSG00000116990,isoExpr.M12_tan
ENSG00000116990,isoExpr.M3_brown
ENSG00000168389,isoExpr.M51_thistle1
ENSG00000131236,isoExpr.M16_lightcyan
ENSG00000131236,isoExpr.M16_lightcyan
ENSG00000131236,isoExpr.M9_magenta
ENSG00000131238,isoExpr.M12_tan
ENSG00000259943,isoExpr.M47_bisque4
ENSG00000084073,isoExpr.M28_skyblue
ENSG00000049089,isoExpr.M15_midnightblue
ENSG00000084070,isoExpr.M34_darkmagenta
ENSG00000084070,isoExpr.M1_turquoise
ENSG00000171793,isoExpr.M4_yellow
ENSG00000010803,isoExpr.M1_turquoise
ENSG00000171960,isoExpr.M3_brown
ENSG00000065978,isoExpr.M14_cyan
ENSG00000065978,isoExpr.M46_brown4
ENSG00000117385,isoExpr.M35_sienna3
ENSG00000177868,isoExpr.M14_cyan
ENSG00000117394,isoExpr.M16_lightcyan
ENSG00000117395,isoExpr.M14_cyan
ENSG00000066056,isoExpr.M16_lightcyan
ENSG00000117399,isoExpr.M2_blue
ENSG00000117399,isoExpr.M2_blue
ENSG00000066322,isoExpr.M4_yellow
ENSG00000142949,isoExpr.M2_blue
ENSG00000142949,isoExpr.M1_turquoise
ENSG00000066135,isoExpr.M43_ivory
ENSG00000126091,isoExpr.M10_purple
ENSG00000117408,isoExpr.M33_darkolivegreen
ENSG00000117410,isoExpr.M3_brown
ENSG00000117410,isoExpr.M36_yellowgreen
ENSG00000117410,isoExpr.M14_cyan
ENSG00000117411,isoExpr.M40_mediumpurple3
ENSG00000196517,isoExpr.M1_turquoise
ENSG00000178028,isoExpr.M3_brown
ENSG00000178028,isoExpr.M3_brown
